lift_id,lifter_id,lift_date,weight_kg,reps
W001,L3,2025-12-27,120.0,1
W002,L2,2025-12-27,140.0,1
W003,L1,2025-12-27,120.0,1
W004,L4,2025-12-27,150.0,1
W005,L3,2026-01-26,125.0,3
W006,L4,2026-01-31,110.0,10
W007,L3,2026-01-31,125.0,1
W008,L3,2026-02-03,130.0,2
W009,L3,2026-02-05,130.0,2
W010,L4,2026-02-15,112.5,10
W011,L1,2026-02-19,115.0,5
W012,L4,2026-02-21,125.0,7
W013,L3,2026-02-23,100.0,10
W014,L1,2026-02-24,120.0,4
W015,L4,2026-02-27,117.5,9
W016,L3,2026-02-27,100.0,10
W017,L3,2026-03-01,100.0,12
W018,L3,2026-03-05,105.0,10
W019,L4,2026-03-06,120.0,10
W020,L1,2026-03-06,105.0,9
W021,L3,2026-03-08,105.0,10
W022,L4,2026-03-10,130.0,5
W023,L3,2026-03-12,110.0,8
W024,L3,2026-03-20,110.0,8
W025,L3,2026-03-29,115.0,5
W026,L3,2026-04-01,115.0,6
W027,L3,2026-04-06,115.0,8
W028,L3,2026-04-10,120.0,4
W029,L3,2026-04-13,120.0,5
W030,L3,2026-05-02,100.0,10
W031,L1,2026-05-03,110.0,7
W032,L3,2026-06-16,100.0,10
W033,L3,2026-06-24,110.0,7
W034,L3,2026-07-01,110.0,9
W035,L3,2026-07-05,115.0,6
W036,L3,2026-07-11,115.0,7
W037,L3,2026-07-13,120.0,3
W038,L3,2026-07-20,120.0,5
W039,L3,2026-07-23,120.0,6
W040,L3,2026-07-29,125.0,3
W041,L3,2026-08-03,125.0,2
W042,L3,2026-08-06,125.0,3
W043,L3,2026-08-08,125.0,4
W044,L3,2026-09-01,90.0,10
